[Header]
"Application Name,LabSolutions"
"Version,5.110"
"Data File Name,C:\LabSolutions\Data\Project1\Blank1.gcd"
"Output Date,6/8/2022"
"Output Time,4:09:43 PM"

[File Information]
"Type,Data File"
"Generated,4/22/2022 12:33:05 PM"
"Generated by,System Administrator"
"Modified,4/22/2022 12:42:08 PM"
"Modified by,System Administrator"

[Sample Information]
"Operator Name,System Administrator"
"Acquired,4/22/2022 12:34:56 PM"
"Sample Type,0:Unknown"
"Level,0"
"Sample Name,Blank"
"Sample ID,Blank"
"ISTD Amount1,1"
"ISTD Amount2,1"
"ISTD Amount3,1"
"ISTD Amount4,1"
"ISTD Amount5,1"
"ISTD Amount6,1"
"ISTD Amount7,1"
"ISTD Amount8,1"
"ISTD Amount9,1"
"ISTD Amount10,1"
"ISTD Amount11,1"
"ISTD Amount12,1"
"ISTD Amount13,1"
"ISTD Amount14,1"
"ISTD Amount15,1"
"ISTD Amount16,1"
"ISTD Amount17,1"
"ISTD Amount18,1"
"ISTD Amount19,1"
"ISTD Amount20,1"
"ISTD Amount21,1"
"ISTD Amount22,1"
"ISTD Amount23,1"
"ISTD Amount24,1"
"ISTD Amount25,1"
"ISTD Amount26,1"
"ISTD Amount27,1"
"ISTD Amount28,1"
"ISTD Amount29,1"
"ISTD Amount30,1"
"ISTD Amount31,1"
"ISTD Amount32,1"
"Sample Amount,1"
"Dilution Factor,1"
"Vial#,1"
"Injection Volume,1"
"Injection Count,1"
"Bar Code,"

[Original Files]
"Data File,c:\LabSolutions\Data\Project1\Blank1.gcd"
"Method File,C:\LabSolutions\Data\Project1\ghg3_togas_w_acet.gcm"
"Batch File,"
"Report Format File,c:\LabSolutions\System\DEFAULT.lsr"

[File Description]


[Configuration]
"Instrument Name,C0B7VH3-Instrument1"
"Instrument #,1"
"Line #,1"
"# of Detectors,3"
"Detector ID,DET#1,DET#2,DET#3"
"Detector Name,FID,PTCD,ECD"
"# of Channels,1,1,1"

[Peak Table(Ch1)]
"# of Peaks,2"
"Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc."
"1,1.473,1.439,1.545,44883,20090,2.234,25.530,   ,1,CO,0.000,8797,17.051,1.473,0.000,0.000,0,0,4.371,4.371"
"2,2.003,1.952,2.154,977904,479791,2.038,558.585,   ,3,CO2,0.360,17848,8.404,1.206,8.632,0.000,0,0,95.629,95.629"

[Peak Table(Ch2)]
"# of Peaks,0"

[Peak Table(Ch3)]
"# of Peaks,1"
"Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc."
"1,6.426,6.356,6.477,1434,214,6.697,0.000, V ,,,0.000,5054,29.678,0.000,0.000,0.000,0,0,0.000,0.000"

[Compound Results(Ch1)]
"# of IDs,6"
"ID#,Name,R.Time,Area,Height,Conc.,Curve,3rd,2nd,1st,Constant,Area Ratio,Height Ratio,Conc. %,Norm Conc."
"1,CO,1.473,44883,20090,25.530,Linear,0.000000e+00,0.000000e+00,1.758042e+003,0.000000e+00,0,0,4.371,4.371"
"2,CH4,0.000,0,0,0.000,Linear,0.000000e+00,0.000000e+00,1.759508e+003,0.000000e+00,0,0,0.000,0.000"
"3,CO2,2.003,977904,479791,558.585,Linear,0.000000e+00,0.000000e+00,1.750680e+003,0.000000e+00,0,0,95.629,95.629"
"4,Ethylene,0.000,0,0,0.000,Linear,0.000000e+00,0.000000e+00,3.461893e+003,0.000000e+00,0,0,0.000,0.000"
"5,Acetylene,0.000,0,0,0.000,Linear,0.000000e+00,0.000000e+00,3.150198e+003,0.000000e+00,0,0,0.000,0.000"
"6,Ethane,0.000,0,0,0.000,Linear,0.000000e+00,0.000000e+00,3.516892e+003,0.000000e+00,0,0,0.000,0.000"

[Compound Results(Ch2)]
"# of IDs,5"
"ID#,Name,R.Time,Area,Height,Conc.,Curve,3rd,2nd,1st,Constant,Area Ratio,Height Ratio,Conc. %,Norm Conc."
"1,Hydrogen,0.000,0,0,0.000,Linear,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000,0.000"
"2,Oxygen,0.000,0,0,0.000,Linear,0.000000e+00,0.000000e+00,1.478856e+001,0.000000e+00,0,0,0.000,0.000"
"3,Nitrogen,0.000,0,0,0.000,Linear,0.000000e+00,0.000000e+00,1.603836e+001,0.000000e+00,0,0,0.000,0.000"
"4,Methane,0.000,0,0,0.000,Linear,0.000000e+00,0.000000e+00,1.331125e+001,0.000000e+00,0,0,0.000,0.000"
"5,Carbon Monoxide,0.000,0,0,0.000,Linear,0.000000e+00,0.000000e+00,1.486421e+001,0.000000e+00,0,0,0.000,0.000"

[Compound Results(Ch3)]
"# of IDs,0"

[Group Results(Ch1)]
"# of Groups,0"

[Group Results(Ch2)]
"# of Groups,0"

[Group Results(Ch3)]
"# of Groups,0"

[Slice Data(Ch1)]
"# of Slices,0"

[Slice Data(Ch2)]
"# of Slices,0"

[Slice Data(Ch3)]
"# of Slices,0"

[Chromatogram (Ch1)]
"Interval(msec),220"
"# of Points,1964"
"Start Time(min),0.002"
"End Time(min),7.199"
"R.Time (min),Intensity"
"0.00167,4"
"0.00533,8"
"0.00900,8"
"0.01267,6"
"0.01633,19"
"0.02000,29"
